LexToken(CLASS,'class',4,72)
LexToken(ID,'Contador',4,78)
LexToken(LBRACE,'{',4,87)
LexToken(VAR,'var',5,93)
LexToken(ID,'totalPares',5,97)
LexToken(EQUALS,'=',5,108)
LexToken(NUMBER_INT,0,5,110)
LexToken(FUN,'fun',7,117)
LexToken(ID,'contarHasta',7,121)
LexToken(LPAREN,'(',7,132)
LexToken(ID,'n',7,133)
LexToken(COLON,':',7,134)
LexToken(TYPE_INT,'Int',7,136)
LexToken(RPAREN,')',7,139)
LexToken(LBRACE,'{',7,141)
LexToken(FOR,'for',9,216)
LexToken(LPAREN,'(',9,220)
LexToken(ID,'i',9,221)
LexToken(IN,'in',9,223)
LexToken(NUMBER_INT,1,9,226)
LexToken(RANGE,'..',9,227)
LexToken(ID,'n',9,229)
LexToken(RPAREN,')',9,230)
LexToken(LBRACE,'{',9,232)
LexToken(IF,'if',11,281)
LexToken(LPAREN,'(',11,284)
LexToken(ID,'i',11,285)
LexToken(MODULO,'%',11,287)
LexToken(NUMBER_INT,2,11,289)
LexToken(EQ,'==',11,291)
LexToken(NUMBER_INT,0,11,294)
LexToken(RPAREN,')',11,295)
LexToken(LBRACE,'{',11,297)
LexToken(ID,'totalPares',12,315)
LexToken(EQUALS,'=',12,326)
LexToken(ID,'totalPares',12,328)
LexToken(PLUS,'+',12,339)
LexToken(NUMBER_INT,1,12,341)
LexToken(PRINTLN,'println',13,359)
LexToken(LPAREN,'(',13,366)
LexToken(ID,'i',13,367)
LexToken(RPAREN,')',13,368)
LexToken(RBRACE,'}',14,408)
LexToken(RBRACE,'}',15,418)
LexToken(RBRACE,'}',16,424)
LexToken(RBRACE,'}',17,426)
LexToken(FUN,'fun',20,451)
LexToken(ID,'main',20,455)
LexToken(LPAREN,'(',20,459)
LexToken(RPAREN,')',20,460)
LexToken(LBRACE,'{',20,462)
LexToken(VAL,'val',22,509)
LexToken(ID,'c',22,513)
LexToken(EQUALS,'=',22,515)
LexToken(ID,'Contador',22,517)
LexToken(LPAREN,'(',22,525)
LexToken(RPAREN,')',22,526)
LexToken(VAR,'var',25,569)
LexToken(ID,'limite',25,573)
LexToken(EQUALS,'=',25,580)
LexToken(READLINE,'readLine',25,582)
LexToken(LPAREN,'(',25,590)
LexToken(RPAREN,')',25,591)
LexToken(IF,'if',28,649)
LexToken(LPAREN,'(',28,652)
LexToken(ID,'limite',28,653)
LexToken(NEQ,'!=',28,660)
LexToken(ID,'null',28,663)
LexToken(RPAREN,')',28,667)
LexToken(LBRACE,'{',28,669)
LexToken(VAR,'var',30,729)
LexToken(ID,'n',30,733)
LexToken(EQUALS,'=',30,735)
LexToken(ID,'limite',30,737)
LexToken(DOT,'.',30,743)
LexToken(ID,'toInt',30,744)
LexToken(LPAREN,'(',30,749)
LexToken(RPAREN,')',30,750)
LexToken(ID,'c',31,814)
LexToken(DOT,'.',31,815)
LexToken(ID,'contarHasta',31,816)
LexToken(LPAREN,'(',31,827)
LexToken(ID,'n',31,828)
LexToken(RPAREN,')',31,829)
LexToken(RBRACE,'}',32,835)
LexToken(VAR,'var',35,891)
LexToken(ID,'x',35,895)
LexToken(EQUALS,'=',35,897)
LexToken(NUMBER_INT,0,35,899)
LexToken(WHILE,'while',36,905)
LexToken(LPAREN,'(',36,911)
LexToken(ID,'x',36,912)
LexToken(LT,'<',36,914)
LexToken(NUMBER_INT,3,36,916)
LexToken(RPAREN,')',36,917)
LexToken(LBRACE,'{',36,919)
LexToken(PRINTLN,'println',37,929)
LexToken(LPAREN,'(',37,936)
LexToken(STRING,'Repetición: ',37,937)
LexToken(PLUS,'+',37,952)
LexToken(ID,'x',37,954)
LexToken(RPAREN,')',37,955)
LexToken(ID,'x',38,965)
LexToken(EQUALS,'=',38,967)
LexToken(ID,'x',38,969)
LexToken(PLUS,'+',38,971)
LexToken(NUMBER_INT,1,38,973)
LexToken(RBRACE,'}',39,979)
LexToken(RBRACE,'}',40,981)
